SA1_7DIGITCODE_2016,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
1100701,9,202,42,256
1100702,19,320,42,381
1100703,10,380,37,428
1100704,44,340,61,446
1100705,11,359,34,402
1100706,11,215,23,249
1100707,14,297,48,359
1100708,27,387,52,458
1100709,14,311,60,380
1100710,22,405,93,515
1100801,22,351,18,388
1100802,21,509,30,557
1100803,28,306,35,370
1100804,26,330,49,406
1100805,26,215,15,254
1100806,21,344,26,387
1100807,19,372,45,434
1100808,34,448,29,513
1100809,0,0,0,0
1100810,10,255,5,271
1100811,15,320,18,356
1100812,0,227,25,255
1100813,12,404,26,444
1100814,20,446,19,484
1100815,15,404,41,461
1100816,36,371,31,440
1100817,12,258,7,284
1100818,21,241,10,268
1100819,24,439,9,471
1100820,18,249,23,290
1100821,9,425,31,467
1100822,8,218,12,230
1100823,9,188,17,214
1100901,12,208,12,234
1100902,24,293,27,345
1100904,13,326,13,349
1100905,31,366,18,415
1100907,15,426,24,467
1100908,10,455,55,522
1100909,19,495,80,587
1100910,14,434,49,503
1100911,23,353,21,396
1100912,22,243,15,276
1100913,28,561,27,615
1100914,25,375,32,435
1100915,43,648,43,734
1100916,17,422,40,486
1100917,22,183,18,226
1100918,53,430,38,521
1100919,15,418,82,513
1100920,123,248,31,405
1100921,8,387,32,431
1100923,21,403,21,443
1100924,0,12,4,17
1100925,16,401,50,474
1100926,7,226,27,260
1100927,13,271,19,295
1100928,19,319,18,351
1100929,80,398,60,537
1101001,13,122,14,144
1101002,4,347,14,365
1101003,11,288,21,322
1101004,5,285,10,308
1101006,22,405,64,483
1101007,7,235,33,273
1101008,14,404,52,471
1101009,28,325,21,372
1101010,27,350,19,397
1101011,0,26,3,25
1101012,3,86,4,91
1101013,0,0,0,0
1101014,4,155,7,163
1101015,17,549,34,604
1101016,19,378,12,412
1101017,13,323,19,357
1101101,24,551,50,621
1101102,8,209,30,245
1101103,5,286,40,328
1101104,9,291,227,534
1101105,11,448,34,494
1101106,8,335,29,376
1101107,10,295,41,346
1101108,14,396,38,449
1101109,9,279,54,341
1101110,9,160,20,188
1101111,8,410,34,458
1101112,9,183,17,205
1101113,6,112,25,144
1101115,4,342,26,371
1101116,15,257,63,333
1101117,5,239,46,292
1101118,13,361,56,428
1101119,14,278,11,302
1101120,7,448,56,512
1101122,12,260,28,293
1101123,6,197,9,210
1101125,10,507,49,572
1101126,11,390,46,450
1101127,16,305,24,348
1101128,9,209,32,254
1101129,8,371,26,401
1101130,13,550,65,627
1101131,3,193,15,213
1101132,11,240,30,275
1101133,9,296,29,330
1101134,9,244,17,269
1101135,8,310,23,346
1101136,12,299,17,326
1101137,5,297,45,345
1101139,5,198,33,234
1101140,11,330,21,357
1101141,13,497,49,562
1101142,16,270,24,304
1101143,16,226,12,253
1101144,3,232,8,245
1101145,15,436,20,471
1101146,7,269,29,303
1101147,7,353,33,396
1101148,7,269,21,302
1101149,3,289,34,329
1101150,4,322,39,367
1101151,0,121,0,129
1101152,11,437,27,470
1101201,10,193,5,209
1101202,3,262,6,271
1101203,17,552,16,580
1101204,0,355,16,370
1101205,7,304,5,324
1101206,8,366,10,386
1101207,5,208,3,224
1101208,10,377,35,425
1101209,17,731,33,785
1101210,11,423,22,452
1101211,8,592,29,630
1101212,7,315,7,330
1101213,12,484,18,522
1101214,18,496,17,528
1101215,15,419,10,448
1101216,7,301,16,319
1101217,0,24,3,30
1101218,14,454,20,489
1101219,25,507,51,588
1101220,18,436,28,480
1101221,11,290,20,327
1101222,15,518,21,557
1101223,18,519,40,583
1101224,12,507,15,537
1101225,0,0,0,0
1101226,0,0,0,0
1101227,5,393,14,416
1101228,19,360,15,397
1101229,11,395,31,441
1101230,9,197,30,232
1101231,5,307,21,333
1101232,10,436,18,459
1101301,23,224,28,277
1101302,52,387,35,476
1101303,12,259,27,297
1101304,11,394,29,433
1101305,13,239,15,268
1101306,5,126,19,145
1101307,12,278,25,315
1101308,9,169,13,190
1101401,29,189,52,271
1101402,20,306,50,373
1101403,40,319,41,398
1101404,37,384,27,448
1101405,27,340,27,398
1101406,21,431,41,496
1101407,25,395,21,437
1101408,13,186,18,218
1101409,15,308,73,400
1101410,29,313,37,375
1101411,27,304,222,554
1101412,24,489,52,559
1101413,19,273,30,322
1101414,8,152,14,176
1101415,42,380,53,475
1101417,0,26,3,24
1101418,9,331,20,358
1101419,20,429,19,465
1101501,0,0,0,0
1101502,0,6,0,6
1101503,19,199,11,230
1101505,0,82,0,88
1101511,19,179,11,210
1101512,8,120,15,143
1101514,4,163,9,178
1101515,7,208,39,258
1101516,9,129,22,154
1101517,8,142,24,169
1101518,4,262,19,284
1101519,12,285,26,321
1101520,5,129,13,150
1101521,13,276,31,328
1101522,20,291,40,352
1101523,3,172,14,194
1101524,12,177,36,220
1101601,0,79,19,102
1101602,24,378,38,438
1101603,13,257,17,288
1101604,8,199,10,214
1101605,5,206,25,236
1101606,13,438,33,488
1101607,14,182,11,205
1101608,7,287,21,309
1101609,11,263,30,301
1101610,15,715,55,780
1101611,3,275,113,389
1101612,0,55,16,75
1101613,5,208,14,229
1101614,12,320,30,357
1101615,7,324,32,366
1101616,15,375,39,431
1101617,0,366,48,414
1101618,9,555,40,604
1101619,24,472,29,522
1101620,5,158,33,197
1101701,114,439,48,599
1101702,9,227,17,254
1101703,52,322,25,400
1101704,39,339,50,420
1101705,30,186,24,238
1101706,76,357,63,499
1101707,0,3,0,3
1101708,25,297,22,347
1101709,27,573,55,657
1101710,27,463,33,524
1101711,20,259,26,308
1101712,36,444,41,523
1101713,22,351,23,390
1101714,0,0,0,0
1101715,0,0,0,0
1101716,42,367,48,455
1101717,22,216,9,250
1101718,27,292,46,374
1101719,34,320,15,371
1101720,9,217,13,245
1101721,32,294,25,349
1101722,32,423,34,490
1101801,12,274,34,320
1101802,11,261,22,289
1101803,24,334,19,373
1101804,12,144,10,169
1101805,13,242,36,284
1101806,46,359,41,448
1101807,27,379,30,440
1101808,47,411,56,509
1101809,111,174,50,338
1101810,27,255,27,308
1101811,17,287,6,317
1101812,23,362,29,417
1101813,9,227,37,276
1101814,10,226,25,257
1101815,19,255,41,317
1101816,27,321,37,381
1101817,30,569,48,645
1101818,37,435,24,492
1101819,32,362,11,401
1101820,30,242,28,299
1101821,6,168,11,185
1101822,102,322,27,451
1101823,51,333,47,438
1101824,0,0,0,0
1101901,90,343,50,484
1101902,64,365,21,438
1101903,35,199,16,251
1101904,21,340,52,419
1101905,27,316,57,399
1101906,10,409,37,448
1101907,8,297,21,324
1101909,21,258,28,304
1101911,18,374,16,407
1101912,17,343,22,385
1101913,13,370,39,426
1101914,46,588,75,708
1101915,6,176,29,211
1101916,11,444,59,521
1101917,20,653,55,730
1101918,6,266,14,285
1101919,3,233,30,267
1101920,12,267,16,295
1101921,10,261,15,279
1101922,20,264,49,334
1101923,33,411,48,488
1102001,23,376,28,435
1102002,19,471,30,522
1102003,21,342,36,394
1102004,17,277,40,335
1102005,17,247,23,283
1102006,25,275,30,330
1102007,11,321,25,354
1102008,8,311,33,352
1102009,0,9,3,11
1102010,0,0,0,0
1102011,15,306,11,333
1102012,0,0,0,0
1102013,15,141,10,162
1102014,9,210,15,241
1102015,9,163,21,190
1102016,23,221,9,259
1102017,7,206,22,235
1102018,26,349,31,405
1102019,11,250,23,286
1102020,24,443,29,503
1102021,0,0,0,0
1102022,27,265,30,320
1102023,8,268,27,307
1102024,8,223,23,257
1102025,18,297,43,359
1102026,14,168,15,195
1102027,5,204,25,234
1102028,17,378,20,413
1102029,10,268,32,315
1102030,27,324,39,388
1102031,5,127,15,151
1102032,10,172,43,223
1102101,25,360,20,409
1102102,6,181,34,217
1102104,95,480,63,635
1102105,20,368,35,429
1102106,37,455,81,575
1102107,27,514,29,569
1102108,20,380,18,418
1102109,0,29,4,38
1102201,3,13,8,25
1102301,19,322,33,373
1102302,11,349,34,400
1102303,15,279,28,317
1102304,15,138,24,174
1102305,18,428,47,495
1102306,84,237,27,347
1102307,12,248,23,283
1102308,46,421,55,524
1102309,18,248,36,299
1102310,0,4,0,4
1102401,12,220,14,245
1102402,11,253,35,300
1102403,12,217,21,253
1102404,18,356,46,423
1102405,11,226,13,246
1102406,15,226,12,245
1102407,13,246,17,280
1102408,14,253,26,291
1102409,10,220,18,252
1102410,12,188,18,212
1102411,12,190,12,209
1102412,6,284,48,341
1102501,0,0,0,0
1102502,22,271,28,326
