Name1,Name2,Latitude,Longitude,State,pop,unk2
'Kingoonya','Kingoonya',-30.8996,135.3,'South Australia','',50,1036942792
'Port Denison','Port Denison',-29.2828,114.9166,'Western Australia','',1213,1036873405
'Cairns','Cairns',-16.8878,145.7633,'Queensland','',154225,1036016939
'Kwinana','Kwinana',-32.2394,115.7702,'Western Australia','',20086,1036753478
'Cranbourne','Cranbourne',-38.0996,145.2834,'Victoria','',460491,1036639986
'Port Hedland','Port Hedland',-20.3104,118.606,'Western Australia','',14288,1036509606
'Port Lincoln','Port Lincoln',-34.7332,135.8666,'South Australia','',13630,1036558150
'Port Macquarie','Port Macquarie',-31.445,152.9187,'New South Wales','',48547,1036051032
'Port Pirie','Port Pirie',-33.1911,137.99,'South Australia','',12506,1036571606
'Portland','Portland',-38.34,141.59,'Victoria','',11808,1036439594
'Proserpine','Proserpine',-20.4162,148.5835,'Queensland','',3976,1036150859
'Busselton','Busselton',-33.6564,115.3487,'Western Australia','',10214,1036911902
'Caboolture','Caboolture',-27.083,152.95,'Queensland','',31513,1036273434
'Cooma','Cooma',-36.2396,149.12,'New South Wales','',6520,1036070931
'Streaky Bay','Streaky Bay',-32.8119,134.2149,'South Australia','',1060,1036134944
'Sunbury','Sunbury',-37.5696,144.71,'Victoria','',29925,1036519781
'Sydney','Sydney',-33.92,151.1852,'New South Wales','admin',4630000,1036074917
'Karumba','Karumba',-17.4833,140.8334,'Queensland','',173,1036926106
'Esperance','Esperance',-33.8573,121.8889,'Western Australia','',7888,1036299314
'Exmouth','Exmouth',-21.9311,114.1233,'Western Australia','',1085,1036006022
'Forbes','Forbes',-33.3896,148.02,'New South Wales','',4838,1036523834
'Morawa','Morawa',-29.2163,116,'Western Australia','',259,1036194388
'Moree','Moree',-29.4699,149.8301,'New South Wales','',8203,1036377829
'Katherine','Katherine',-14.4666,132.2666,'Northern Territory','',10141,1036323110
'Katoomba','Katoomba',-33.7069,150.32,'New South Wales','',22076,1036674004
'Launceston','Launceston',-41.4498,147.1302,'Tasmania','',72458,1036170383
'Laverton','Laverton',-28.627,122.404,'Western Australia','',316,1036624366
'Leeton','Leeton',-34.5449,146.3973,'New South Wales','',7299,1036102538
'Leonara','Leonara',-28.8815,121.328,'Western Australia','',227,1036140404
'Seymour','Seymour',-37.0342,145.1273,'Victoria','',3693,1036919223
'Singleton','Singleton',-32.5695,151.16,'New South Wales','',13813,1036947514
'Newcastle','Newcastle',-32.8453,151.815,'New South Wales','',1134616,1036468001
'Norseman','Norseman',-32.2,121.7666,'Western Australia','',1004,1036257263
'Batemans Bay','Batemans Bay',-35.6896,150.2073,'New South Wales','',10557,1036272805
'Bathurst','Bathurst',-33.4196,149.57,'New South Wales','',6111,1036446465
'Griffith','Griffith',-34.29,146.04,'New South Wales','',15455,1036563313
'Whyalla','Whyalla',-33.025,137.5614,'South Australia','',22559,1036961366
'Wilcannia','Wilcannia',-31.5662,143.3833,'New South Wales','',442,1036134474
'Katanning','Katanning',-33.6996,117.5501,'Western Australia','',3934,1036411379
'Bongaree','Bongaree',-27.0787,153.1509,'Queensland','',13649,1036269345
'Bordertown','Bordertown',-36.3162,140.7666,'South Australia','',2583,1036115980
'Boulia','Boulia',-22.8996,139.9,'Queensland','',600,1036512474
'Bourke','Bourke',-30.1,145.9333,'New South Wales','',2475,1036074667
'Mackay','Mackay',-21.1439,149.15,'Queensland','',75922,1036507374
'Southern Cross','Southern Cross',-31.2161,119.3167,'Western Australia','',187,1036931490
'Ulladulla','Ulladulla',-35.3495,150.47,'New South Wales','',9250,1036687220
'Victor Harbor','Victor Harbor',-35.5596,138.6173,'South Australia','',7760,1036536547
'Andamooka','Andamooka',-30.431,137.1656,'South Australia','',528,1036260794
'Hervey Bay','Hervey Bay',-25.2887,152.8409,'Queensland','',25114,1036833938
'Gunnedah','Gunnedah',-30.987,150.2623,'New South Wales','',7148,1036500021
'Gympie','Gympie',-26.1886,152.6709,'Queensland','',11649,1036391013
'Halls Creek','Halls Creek',-18.2667,127.7667,'Western Australia','',1209,1036444511
'Hamilton','Hamilton',-37.7312,142.0234,'Victoria','',8869,1036699883
'Winton','Winton',-22.3996,143.0333,'Queensland','',1157,1036031036
'Mudgee','Mudgee',-32.5896,149.5801,'New South Wales','',5391,1036213564
'Ivanhoe','Ivanhoe',-32.8996,144.3,'New South Wales','',265,1036571526
'Pannawonica','Pannawonica',-21.6366,116.325,'Western Australia','',686,1036914573
'Dubbo','Dubbo',-32.26,148.5973,'New South Wales','',31574,1036855042
