region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1100101,0,0,514,514
1100102,26,550,31,607
1100103,0,21,0,21
1100104,0,18,0,18
1100105,15,235,12,262
1100106,7,211,21,239
1100107,15,213,8,236
1100108,3,220,9,232
1100109,13,295,23,331
1100110,28,478,19,525
1100111,27,532,12,571
1100112,17,419,7,443
1100113,17,421,13,451
1100114,27,333,6,366
1100115,21,432,27,480
1100116,27,400,16,443
1100117,13,248,6,267
1100118,15,296,13,324
1100119,15,257,10,282
1100120,24,385,6,415
1100121,16,203,6,225
1100122,12,299,7,318
1100123,28,278,10,316
1100124,34,381,36,451
1100125,22,356,9,387
1100126,8,260,10,278
1100127,24,380,12,416
1100128,27,218,12,257
1100129,22,408,10,440
1100130,29,233,21,283
1100131,18,278,9,305
1100132,37,553,18,608
1100133,18,312,9,339
1100134,15,338,4,357
1100135,19,370,12,401
1100136,25,473,24,522
1100137,16,207,15,238
1100138,35,341,36,412
1100139,14,190,12,216
1100140,24,244,9,277
1100141,117,450,24,591
1100142,13,250,12,275
1100143,18,352,21,391
1100144,12,207,6,225
1100145,28,268,16,312
1100146,28,375,19,422
1100147,47,466,34,547
1100148,66,262,36,364
1100149,13,355,15,383
1100150,15,266,3,284
1100151,112,157,21,290
1100152,10,205,17,232
1100153,34,472,25,531
1100154,31,520,14,565
1100155,13,259,34,306
1100156,19,345,4,368
1100157,26,484,28,538
1100158,25,283,6,314
1100159,0,94,0,94
1100160,0,12,3,15
1100161,43,307,12,362
1100201,29,547,26,602
1100202,29,301,22,352
1100203,13,286,8,307
1100204,11,261,6,278
1100205,36,510,43,589
1100206,17,406,24,447
1100207,19,471,4,494
1100208,18,292,15,325
1100209,7,192,10,209
1100210,18,271,6,295
1100211,7,161,18,186
1100212,18,344,18,380
1100213,16,254,9,279
1100214,10,227,23,260
1100215,12,238,20,270
1100216,14,454,6,474
1100217,4,304,24,332
1100218,19,279,13,311
1100219,14,314,25,353
1100220,23,262,38,323
1100221,9,251,13,273
1100222,8,472,15,495
1100223,21,363,40,424
1100224,17,227,10,254
1100225,3,286,24,313
1100226,10,550,17,577
1100227,12,387,9,408
1100228,6,326,18,350
1100229,9,207,3,219
1100230,31,238,15,284
1100231,73,368,31,472
1100232,7,188,16,211
1100233,12,243,10,265
1100301,29,536,33,598
1100302,0,130,3,133
1100303,12,220,15,247
1100304,19,475,25,519
1100305,12,407,15,434
1100306,13,366,9,388
1100307,182,453,57,692
1100308,0,285,15,300
1100309,17,442,17,476
1100310,19,394,31,444
1100311,18,511,52,581
1100312,23,540,38,601
1100313,21,388,12,421
1100314,19,453,22,494
1100401,6,167,15,188
1100402,21,271,3,295
1100403,3,96,9,108
1100404,19,785,42,846
1100405,6,284,13,303
1100406,6,228,19,253
1100407,6,414,20,440
1100408,6,320,7,333
1100409,0,144,3,147
1100410,7,345,28,380
1100411,5,252,28,285
1100412,9,272,30,311
1100413,10,222,5,237
