'locality','state','postcode','latitude','longitude'
'AARONS PASS','NSW','2850',-32.87909569,149.8028858
'ABBA RIVER','WA','6280',-33.68335966,115.48827876
'ABBEY','WA','6280',-33.66396916,115.25639362
'ABBEYARD','VIC','3737',-37.02132561,146.76406458
'ABBEYWOOD','QLD','4613',-26.10475277,151.64120054
'ABBOTSBURY','NSW','2176',-33.8700951,150.86116961
'ABBOTSFORD','NSW','2046',-33.85061436,151.12928249
'ABBOTSFORD','QLD','4670',-24.83033832,152.01079676
'ABBOTSFORD','VIC','3067',-37.80436703,144.99970061
'ABBOTSHAM','TAS','7315',-41.21417871,146.18225805
'ABELS BAY','TAS','7112',-43.2295186,147.10734733
'ABERCORN','QLD','4627',-25.13677486,151.14778691
'ABERCROMBIE','NSW','2795',-33.38997576,149.55643369
'ABERCROMBIE RIVER','NSW','2795',-33.9102935,149.3476871
'ABERDARE','NSW','2325',-32.84105788,151.38171313
'ABERDEEN','NSW','2336',-32.17382358,150.89160639
'ABERDEEN','TAS','7310',-41.24341618,146.32410904
'ABERFELDIE','VIC','3040',-37.75954928,144.89731521
'ABERFELDY','VIC','3825',-37.69980054,146.37843019
'ABERFOYLE','NSW','2350',-30.23617435,151.97839384
'ABERFOYLE PARK','SA','5159',-35.07056892,138.60113675
'ABERGLASSLYN','NSW','2320',-32.69489677,151.53395629
'ABERGOWRIE','QLD','4850',-18.43820172,145.93121853
'ABERMAIN','NSW','2326',-32.81971076,151.43720653
'ABERNETHY','NSW','2325',-32.88755416,151.40218454
'ABINGTON','NSW','2350',-30.31807219,151.23637954
'ABINGTON','QLD','4660',-25.21036799,152.35250338
'ABMINGA STATION','SA','5440',-32.21594237,140.31531361
'ACACIA CREEK','NSW','2476',-28.37627308,152.31906085
'ACACIA GARDENS','NSW','2763',-33.7335154,150.91378879
'ACACIA HILLS','NT','0822',-12.74783138,131.14592136
'ACACIA HILLS','TAS','7306',-41.28476269,146.336017
'ACACIA RIDGE','QLD','4110',-27.58536597,153.02358411
'ACHERON','VIC','3714',-37.26894465,145.69932083
'ACLAND','QLD','4401',-27.31351633,151.68486761
'ACTON','ACT','2601',-35.28520346,149.11294286
'ACTON','TAS','7320',-41.07171245,145.89167512
'ACTON PARK','TAS','7170',-42.87106831,147.47873981
'ACTON PARK','WA','6280',-33.76269243,115.37484812
'ADAMINABY','NSW','2629',-36.01165691,148.78486701
'ADAMS ESTATE','VIC','3984',-38.42520184,145.53186353
'ADAMSTOWN','NSW','2289',-32.93828802,151.72530631
'ADAMSTOWN HEIGHTS','NSW','2289',-32.94903962,151.71033806
'ADAMSVALE','WA','6375',-32.21738218,117.71781134
'ADARE','QLD','4343',-27.51260007,152.29546752
'ADAVALE','QLD','4474',-25.92756966,144.79991237
'ADDINGTON','VIC','3352',-37.39573252,143.66787517
'ADELAIDE','SA','5000',-34.92869,138.60102
'ADELAIDE AIRPORT','SA','5950',-34.94615486,138.53080556
'ADELAIDE LEAD','VIC','3465',-37.081806,143.66842361
'ADELAIDE PARK','QLD','4703',-23.0967853,150.69568799
'ADELAIDE RIVER','NT','0846',-13.16786268,131.15575711
'ADELONG','NSW','2729',-35.30664519,148.06975959
'ADJUNGBILLY','NSW','2727',-35.04148555,148.44045911
'ADVANCETOWN','QLD','4211',-28.07223897,153.2767691
'ADVENTURE BAY','TAS','7150',-43.35205466,147.32278483
'AEROGLEN','QLD','4870',-16.87647196,145.76241448
'AFTERLEE','NSW','2474',-28.57310776,152.82378354
'AGERY','SA','5558',-34.14259819,137.70053456
'AGNES','VIC','3962',-38.68149909,146.3876813
'AGNES BANKS','NSW','2753',-33.62309162,150.70271901
'AGNES WATER','QLD','4677',-24.22606509,151.91071848
'AINSLIE','ACT','2602',-35.26218249,149.14792449
'AINTREE','VIC','3336',-37.7198228,144.6682479
'AIRDMILLAN','QLD','4807',-19.52650287,147.48120989
'AIRDS','NSW','2560',-34.08598669,150.83313565
'AIREYS INLET','VIC','3231',-38.4355121,144.0971554
'AIRLIE BEACH','QLD','4802',-20.27177809,148.71696702
'AIRLY','VIC','3851',-38.0307693,147.09745211
'AIRPORT WEST','VIC','3042',-37.72372556,144.88190001
'AIRVILLE','QLD','4807',-19.63087282,147.345495
'AITKENVALE','QLD','4814',-19.29953455,146.76968357
'AJANA','WA','6532',-27.87721732,114.69078078
'AKAROA','TAS','7216',-41.29290501,148.33405084
'AKOLELE','NSW','2546',-36.34817449,150.0761393
'ALABAMA HILL','QLD','4820',-20.08221327,146.24837551
'ALAWA','NT','0810',-12.37963558,130.87271763
'ALAWOONA','SA','5311',-34.73699446,140.50873252
'ALBANVALE','VIC','3021',-37.74595004,144.76865781
'ALBANY','WA','6330',-35.02752985,117.88395904
'ALBANY CREEK','QLD','4035',-27.35438823,152.96926139
'ALBERT','NSW','2873',-32.38479941,147.47702767
'ALBERT PARK','SA','5014',-34.87624018,138.5214716
'ALBERT PARK','VIC','3206',-37.84445111,144.95876367
'ALBERTA','QLD','4702',-24.30322693,149.76712394
'ALBERTON','QLD','4207',-27.70744027,153.26953902
'ALBERTON','SA','5014',-34.85903628,138.51610952
'ALBERTON','TAS','7263',-41.31265743,147.79368526
'ALBERTON','VIC','3971',-38.61710491,146.66267359
'ALBERTON WEST','VIC','3971',-38.60369506,146.57704641
'ALBINIA','QLD','4722',-24.4396646,148.39744873
'ALBION','QLD','4010',-27.43264212,153.04355786
'ALBION','QLD','4822',-21.32852834,142.60498379
'ALBION','VIC','3020',-37.77652213,144.81627536
'ALBION PARK','NSW','2527',-34.58220094,150.77728987
'ALBION PARK RAIL','NSW','2527',-34.56184428,150.79487043
'ALBURY','NSW','2640',-36.07372936,146.91354185
'ALCOMIE','TAS','7330',-40.94202786,145.21257084
'ALDAVILLA','NSW','2440',-31.07416891,152.76203486
'ALDERLEY','QLD','4051',-27.4252829,153.00101811
'ALDERSHOT','QLD','4650',-25.46542293,152.66471816
'ALDERSYDE','WA','6306',-32.31508396,117.26902021
'ALDGATE','SA','5154',-35.01633257,138.73945928
'ALDINGA','SA','5173',-35.27063654,138.48356381
'ALDINGA BEACH','SA','5173',-35.29319459,138.45830029
'ALDOGA','QLD','4694',-23.83599432,151.06105688
'ALECTOWN','NSW','2870',-32.91427975,148.26801472
'ALEXANDER HEIGHTS','WA','6064',-31.82758854,115.86506874
'ALEXANDRA','QLD','4740',-21.16087306,149.09365881
'ALEXANDRA','VIC','3714',-37.19810879,145.73672476
'ALEXANDRA BRIDGE','WA','6288',-34.1650075,115.20035855
'ALEXANDRA HEADLAND','QLD','4572',-26.67079286,153.10363377
'ALEXANDRA HILLS','QLD','4161',-27.53246652,153.22889915
'ALEXANDRIA','NSW','2015',-33.90986437,151.19281719
'ALFORD','SA','5555',-33.81558,137.82207
'ALFORDS POINT','NSW','2234',-33.98574194,151.02516404
'ALFRED COVE','WA','6154',-32.03284999,115.81703209
'ALFREDTON','VIC','3350',-37.55591361,143.80063056
'ALFREDTOWN','NSW','2650',-35.15324534,147.54119961
'ALGESTER','QLD','4115',-27.61274483,153.03254803
'ALI CURUNG','NT','0872',-21.01986813,134.32484828
'ALICE','NSW','2469',-29.05366248,152.58927901
'ALICE CREEK','QLD','4610',-26.75926588,151.62343604
'ALICE RIVER','QLD','4817',-19.34555897,146.62022462
'ALICE SPRINGS','NT','0870',-23.69804212,133.88074718
'ALISON','NSW','2259',-33.26635737,151.39967592
'ALISON','NSW','2420',-32.42855466,151.77252019
'ALKIMOS','WA','6038',-31.61460259,115.68334297
'ALLAMBEE','VIC','3823',-38.29636972,146.02351257
'ALLAMBEE RESERVE','VIC','3871',-38.30667807,146.05521355
'ALLAMBEE SOUTH','VIC','3871',-38.35109329,146.1006698
'ALLAMBIE HEIGHTS','NSW','2100',-33.76958686,151.24883359
'ALLAN','QLD','4370',-28.19567717,151.95146097
'ALLANDALE','NSW','2320',-32.72675896,151.41384423
'ALLANDALE','QLD','4310',-28.00837163,152.75910111
'ALLANDALE STATION','SA','5723',-27.67615307,135.60605288
'ALLANOOKA','WA','6525',-29.05798352,115.09972729
'ALLANS FLAT','VIC','3691',-36.29603339,146.93677712
'ALLANSFORD','VIC','3277',-38.39353286,142.61176898
'ALLANSON','WA','6225',-33.32575056,116.08779619
'ALLAWAH','NSW','2218',-33.97266983,151.11431427
'ALLEENA','NSW','2671',-34.09399588,147.13347773
'ALLENBY GARDENS','SA','5009',-34.90162892,138.5543742
'ALLENDALE','VIC','3364',-37.36206343,143.91513595
'ALLENDALE EAST','SA','5291',-38.00316701,140.70495016
'ALLENDALE NORTH','SA','5373',-34.27531519,138.91168984
'ALLENS RIVULET','TAS','7150',-43.01509028,147.20141618
'ALLENSTOWN','QLD','4700',-23.39400884,150.50389092
'ALLENVIEW','QLD','4285',-27.91388752,152.91514073
'ALLESTREE','VIC','3305',-38.27135834,141.65149902
'ALLGOMERA','NSW','2441',-30.81815515,152.79550796
'ALLIGATOR CREEK','QLD','4740',-21.32010939,149.21847845
'ALLIGATOR CREEK','QLD','4816',-19.41052085,146.93220505
'ALLORA','QLD','4362',-28.01734134,151.97846663
'ALLOWAY','QLD','4670',-24.95685411,152.35983771
'ALLWORTH','NSW','2425',-32.54161746,151.9450969
'ALLYNBROOK','NSW','2311',-32.35154042,151.5484939
'ALMA','SA','5401',-34.25800871,138.64476585
'ALMA','VIC','3465',-37.02207,143.67809517
'ALMA','WA','6535',-28.25244315,114.62236201
'ALMA PARK','NSW','2659',-35.60101215,146.80079214
'ALMADEN','QLD','4871',-17.39133607,144.67263806
'ALMONDS','VIC','3727',-36.22496837,146.06069689
'ALMURTA','VIC','3979',-38.45902458,145.58386456
'ALONNAH','TAS','7150',-43.31280867,147.26556519
'ALOOMBA','QLD','4871',-17.13558001,145.87109083
'ALPANA','SA','5730',-31.11212771,138.55019737
'ALPHA','QLD','4724',-23.63835477,146.63079465
'ALPHINGTON','VIC','3078',-37.78043264,145.03082149
'ALPINE','NSW','2575',-34.40854197,150.53728749
'ALPURRURULAM','NT','4825',-20.98174414,137.83736056
'ALSACE','QLD','4702',-23.28659391,149.2976965
'ALSTONVALE','NSW','2477',-28.79374471,153.44406801
'ALSTONVILLE','NSW','2477',-28.84087397,153.44948026
'ALTON DOWNS','QLD','4702',-23.32026214,150.36757305
'ALTON DOWNS STATION','SA','5733',-26.31996766,138.97186189
'ALTONA','SA','5351',-34.60175116,138.91738434
'ALTONA','VIC','3018',-37.86018132,144.81379026
'ALTONA MEADOWS','VIC','3028',-37.8808374,144.78426389
'ALTONA NORTH','VIC','3025',-37.83784353,144.83431385
'ALUMY CREEK','NSW','2460',-29.64412548,152.9563587
'ALVA','QLD','4807',-19.45099413,147.43956838
'ALVIE','VIC','3249',-38.23656996,143.49416395
'ALYANGULA','NT','0885',-13.85078582,136.42006592
'AMAMOOR','QLD','4570',-26.3469162,152.67547383
'AMAMOOR CREEK','QLD','4570',-26.37709208,152.5216376
'AMAROO','ACT','2914',-35.16958541,149.12802291
'AMAROO','NSW','2866',-33.16432304,148.9208424
'AMAROO','QLD','4829',-23.26861935,139.33702466
'AMATA','SA','0872',-26.1276655,131.17388892
'AMBANIA','WA','6632',-28.68641316,115.1429108
'AMBARVALE','NSW','2560',-34.08927451,150.79718475
'AMBER','QLD','4871',-17.72029057,144.23855417
'AMBERGATE','WA','6280',-33.71196353,115.31800727
'AMBERLEY','QLD','4306',-27.63208606,152.69589496
'AMBLESIDE','TAS','7310',-41.20306842,146.37221322
'AMBROSE','QLD','4695',-23.81306817,150.89203405
'AMBY','QLD','4462',-26.53791883,148.18246039
'AMELUP','WA','6338',-34.25723785,118.27283644
'AMERICAN BEACH','SA','5222',-35.76893169,137.88078929
'AMERICAN RIVER','SA','5221',-35.779224,137.76884569
'AMHERST','VIC','3371',-37.13620298,143.65302172
'AMIENS','QLD','4380',-28.60158075,151.81263485
'AMITY','QLD','4183',-27.39951341,153.45082757
'AMOONGUNA','NT','0873',-23.76846783,133.93065325
'AMOR','VIC','3825',-37.9402645,146.40368361
'AMOSFIELD','NSW','4380',-28.65836425,152.05797629
'AMPHITHEATRE','VIC','3468',-37.18796923,143.41481613
'AMPILATWATJA','NT','0872',-21.66430227,135.246921
'AMYTON','SA','5431',-32.60943552,138.3291886
'ANABRANCH NORTH','NSW','2648',-33.29626424,141.8019071
'ANABRANCH SOUTH','NSW','2648',-33.71566429,141.69012864
'ANAKIE','VIC','3213',-37.93562069,144.28560103
'ANAMA','SA','5464',-33.68676015,138.56545361
'ANAMBAH','NSW','2320',-32.67920035,151.49504478
'ANANGU PITJANTJATJARA YANKUNYTJATJARA','SA','5724',-27.08218291,131.20438479
'ANATYE','NT','0872',-22.99289292,136.95451224
'ANCONA','VIC','3715',-36.96193217,145.80935273
'ANDAMOOKA','SA','5722',-30.44706,137.16644
'ANDAMOOKA STATION','SA','5722',-30.58924056,137.16870056
'ANDERGROVE','QLD','4740',-21.09515481,149.18589755
'ANDERLEIGH','QLD','4570',-26.01603037,152.67858103
'ANDERSON','VIC','3995',-38.52173755,145.44929518
'ANDO','NSW','2631',-36.73339577,149.29424564
'ANDOVER','TAS','7120',-42.34005585,147.49635812
'ANDREWS','SA','5454',-33.61768116,138.63993099
'ANDREWS FARM','SA','5114',-34.67495618,138.65950177
'ANDROMACHE','QLD','4800',-20.59215997,148.41415296
'ANDURAMBA','QLD','4355',-27.07349295,152.11820538
'ANEMBO','NSW','2621',-35.7752883,149.44795927
'ANGAS PLAINS','SA','5255',-35.33491379,138.96954157
'ANGAS VALLEY','SA','5238',-34.75633365,139.29416894
'ANGASTON','SA','5353',-34.52983977,139.06224781
'ANGEPENA','SA','5732',-30.65815398,138.85584891
'ANGLE PARK','SA','5010',-34.85595988,138.56061175
'ANGLE VALE','SA','5117',-34.63858871,138.64975899
'ANGLEDALE','NSW','2550',-36.63489086,149.87427369
'ANGLEDOOL','NSW','2834',-29.12145647,147.92887848
'ANGLERS REACH','NSW','2629',-36.01118727,148.67484046
'ANGLERS REST','VIC','3898',-37.01633342,147.46747094
'ANGLESEA','VIC','3230',-38.38082909,144.15435169
'ANGORIGINA','SA','5730',-31.10304331,138.80925768
'ANGOURIE','NSW','2464',-29.4730154,153.3561428
'ANKETELL','WA','6167',-32.21859934,115.86552295
'ANMATJERE','NT','0872',-22.04094668,133.24375849
